"","Reporting.Country","Total.confirmed","Total.confirmed.new.cases","Total.deaths","Total.new.deaths","Transmission.classification","Days.since.last.reported.case","ISO_3_CODE","temp_mean_14Mar20","temp_mean_14Mar20_pa","temp_mean_3mth","temp_mean_3mth_pa","humd_mean_14Mar20","humd_mean_14Mar20_pa","humd_mean_3mth","humd_mean_3mth_pa","temp_mean_14Mar20_paadj","temp_mean_3mth_paadj"
"106","Liechtenstein",46,0,0,0,"Imported cases only",1,"LIE",0.244064331054688,0.244064331054688,-0.985930880984744,-0.985930880984744,77.1524600982666,NA,71.7200298309326,71.7200298309326,0.244064331054688,-0.985930880984744
"107","Lithuania",179,36,1,0,"Local transmission",0,"LTU",-1.27217203776042,-1.11027043081796,2.46522645967501,2.46244643848868,69.8368925730387,69.5921395216565,85.4004838651365,85.4004838651365,-1.11027043081796,2.46244643848868
"108","Luxembourg",875,77,8,0,"Local transmission",0,"LUX",4.6986572265625,4.83820515043413,4.33691340266047,4.49244773366465,81.6867614746094,80.9836198395758,86.7709038193161,86.7709038193161,4.83820515043413,4.49244773366465
"109","Madagascar ",13,1,0,0,"Imported cases only",0,"MDG",25.0439877229578,23.1679070059724,24.7142329410579,23.526793798446,73.2255080260482,79.051019250657,78.2704204908741,78.2704204908741,23.1679070059724,23.526793798446
"110","Malaysia",1518,212,14,4,"Local transmission",0,"MYS",26.9034886952027,28.3928781614746,25.7197273911626,26.9709790292553,79.4856008489461,77.0657530410877,82.8038176005306,82.8038176005306,28.3928781614746,26.9709790292553
"111","Maldives",13,0,0,0,"Local transmission",8,"MDV",28.0199757451596,28.0098741242209,27.430139785928,27.4164935401053,76.3787614573603,76.7180837221036,77.5283388458324,77.5283388458324,28.0098741242209,27.4164935401053
"112","Malta",107,17,0,0,"Local transmission",0,"MLT",16.1251907348633,16.0764196505041,14.3110759838207,14.2699195731831,85.2224502563477,85.6012249949043,72.8200608201929,72.8200608201929,16.0764196505041,14.2699195731831
"113","Martinique",53,21,0,0,"Imported cases only",0,"MTQ",24.3144683837891,24.4072694679734,24.7488112578521,24.8175036526365,80.0450172424316,79.887375444234,77.5574200088913,77.5574200088913,24.4072694679734,24.8175036526365
"114","Mauritania ",2,0,0,0,"Imported cases only",5,"MRT",24.7205292487227,25.3374184147527,21.8578870992537,24.7305812680532,17.0141948204964,40.9538868768788,19.8985823650908,19.8985823650908,25.3374184147527,24.7305812680532
"115","Mauritius",36,24,0,0,"Imported cases only",0,"MUS",25.2997029622396,25.3172939091623,25.579667512361,25.5876059290344,86.9388758341471,86.8902109369716,83.5354086729857,83.5354086729857,25.3172939091623,25.5876059290344
"116","Mayotte",24,10,0,0,"Imported cases only",0,"MYT",27.574089050293,27.5851768736427,27.3717809110074,27.3558564126213,85.5998954772949,85.6771799299444,81.6726921957892,81.6726921957892,27.5851768736427,27.3558564126213
"117","Mexico",370,119,4,2,"Local transmission",0,"MEX",20.0768983310327,20.576590905442,16.5532299747575,16.9931877557008,61.4321698544916,61.760173276462,58.1877732728763,58.1877732728763,20.576590905442,16.9931877557008
"118","Monaco",23,0,0,0,"Local transmission",1,"MCO",10.9464111328125,10.9464111328125,10.0424313931852,10.0424313931852,90.7993698120117,NA,73.7006177644472,73.7006177644472,10.9464111328125,10.0424313931852
"119","Mongolia",10,0,0,0,"Imported cases only",2,"MNG",-2.78256289964632,-3.62175043239866,-13.8314752145937,-15.6466673763427,42.0504659008274,49.0569412115978,60.2041793247466,60.2041793247466,-3.62175043239866,-15.6466673763427
"120","Montenegro",22,1,0,0,"Imported cases only",0,"MNE",8.17809204101562,10.8861947369067,2.80590579471073,4.94623022317172,70.6116749572754,68.9983547444906,71.1020630068392,71.1020630068392,10.8861947369067,4.94623022317172
"121","Montserrat",1,0,0,0,"Imported cases only",6,"MSR",24.939697265625,24.939697265625,24.9634321058119,24.9634321058119,77.127082824707,NA,77.8552130621833,77.8552130621833,24.939697265625,24.9634321058119
"122","Morocco",143,28,4,0,"Local transmission",0,"MAR",15.6008708990655,15.8196897234751,12.7381779882965,13.264285166356,50.7721982354903,64.7578594098848,45.0318910825508,45.0318910825508,15.8196897234751,13.264285166356
"123","Mozambique ",1,0,0,0,"Imported cases only",1,"MOZ",26.9280925252241,26.4792663570503,25.6667483602835,25.3556110645449,71.5241899994151,74.1149213314558,77.4679601424366,77.4679601424366,26.4792663570503,25.3556110645449
"124","Myanmar",2,2,0,0,"Imported cases only",0,"MMR",26.1840879970923,28.3827879485984,19.9780004602505,22.805021447589,52.9008899160154,53.2258399856646,65.1005248286179,65.1005248286179,28.3827879485984,22.805021447589
"125","Namibia",3,0,0,0,"Imported cases only",4,"NAM",24.3264421583983,24.1489981204152,24.7518025973164,23.8851128719621,46.3860451046225,52.1030556663978,51.1156423097095,51.1156423097095,24.1489981204152,23.8851128719621
"126","Nepal",2,1,0,0,"Imported cases only",0,"NPL",7.30372943087108,16.6317334794928,4.16444551289965,13.2166752274782,73.708316556869,73.2780764722458,69.3029398992982,69.3029398992982,16.6317334794928,13.2166752274782
"127","Netherlands",4749,545,213,34,"Local transmission",0,"NLD",5.87484659830729,6.11657572912357,6.25624941714175,6.38253108297213,79.1966228230794,80.368553911904,84.5231436480273,84.5231436480273,6.11657572912357,6.38253108297213
"128","New Caledonia",8,3,0,0,"Imported cases only",0,"NCL",25.2826300726997,25.2182058604066,25.4996088770655,25.0877630039876,91.8330298529731,91.6292348827437,77.429553573196,77.429553573196,25.2182058604066,25.0877630039876
"129","New Zealand",102,0,0,0,"Local transmission",1,"NZL",13.4514645225123,16.0648268048989,15.149398721231,17.8389536843419,76.8985634091026,76.2437843249922,74.509035658097,74.509035658097,16.0648268048989,17.8389536843419
"130","Nicaragua ",2,0,0,0,"Imported cases only",2,"NIC",24.9832384018671,25.8346777604724,24.8172021102414,25.621945142494,74.2592148780823,64.2409034785399,76.9565792507186,76.9565792507186,25.8346777604724,25.621945142494
"131","Niger ",2,1,0,0,"Imported cases only",0,"NER",21.9311679428838,26.3721033676025,20.1014476566474,24.0476336945469,18.7994830652684,14.9580802776877,20.7885908020481,20.7885908020481,26.3721033676025,24.0476336945469
"132","Nigeria ",22,0,0,0,"Imported cases only",2,"NGA",27.7452788214005,27.6809497395282,26.1339609147105,26.3652231129012,29.8291655492028,42.5250252885227,30.97474588911,30.97474588911,27.6809497395282,26.3652231129012
"133","North Macedonia",136,22,2,1,"Local transmission",0,"MKD",11.0646430121528,10.8625632709904,3.19034641941746,3.23042330848483,61.3928720262316,59.1045079251123,68.4973256268659,68.4973256268659,10.8625632709904,3.23042330848483
"134","Norway",2371,239,8,1,"Local transmission",0,"NOR",-7.1832048290601,-2.254485053647,-3.16750043839577,1.23743238636968,72.5819846515696,66.4169059309882,82.7348480924255,82.7348480924255,-2.254485053647,1.23743238636968
"135","occupied Palestinian territory",59,0,0,0,"Local transmission",1,"PSE",15.1565765380859,15.1392511326637,12.5901250478384,12.6417790884821,86.1665016174316,87.1061087215175,73.5151826085271,73.5151826085271,15.1392511326637,12.6417790884821
"136","Oman",84,29,0,0,"Local transmission",0,"OMN",23.6272548392967,23.7802054098942,20.8075283898248,20.6193870548223,38.9261329946695,35.9641117853632,47.8127729814272,47.8127729814272,23.7802054098942,20.6193870548223
"137","Pakistan",887,103,6,1,"Local transmission",0,"PAK",13.9789222728969,16.7201724885701,9.95345775461676,13.678437624407,50.1367681183457,62.1967512738694,57.2643889442618,57.2643889442618,16.7201724885701,13.678437624407
